col1,col2
Jak nazywa się powieść Henryka Sienkiewicza z 1884 roku?,Potop
Kto jest autorem powieści „Lalka”?,Bolesław Prus
Kto jest autorem „Pan Tadeusz”?,Adam Mickiewicz
Kto jest autorem „Krzyżaków”?,Henryk Sienkiewicz
Kto jest autorem „Chłopów”?,Władysław Reymont
Kto jest autorem „Kamieni na szaniec”?,Aleksander Kamiński
Kto jest autorem „Dziadów”?,Adam Mickiewicz
Kto jest autorem „Konopielki”?,Eliza Orzeszkowa
Kto jest autorem „Quo Vadis”?,Henryk Sienkiewicz
Kto jest autorem „Ziemia obiecana”?,Władysław Reymont
