col1,col2
Jaki jest kolor sierści kota syjamskiego?,Ciemny brąz lub czarny
Jakie są cechy charakterystyczne kota brytyjskiego?,"Krótka sierść, duże uszy i okrągłe oczy"
Jakie są cechy charakterystyczne kota perskiego?,"Długa sierść, duże oczy i krótkie uszy"
Jaki jest kolor sierści kota rosyjskiego niebieskiego?,Niebieski
Jaki jest kolor sierści kota sfinksa?,Brak sierści
Jakie są cechy charakterystyczne kota syberyjskiego?,"Gruba sierść, duże uszy i okrągłe oczy"
Jaki jest kolor sierści kota bengalskiego?,Ciemny brąz lub czarny z jasnymi plamami
Jakie są cechy charakterystyczne kota ragdolla?,"Długa sierść, duże oczy i krótkie uszy"
Jaki jest kolor sierści kota norweskiego leśnego?,Ciemny brąz lub czarny z jasnymi plamami
Jakie są cechy charakterystyczne kota maine coona?,"Gruba sierść, duże uszy i okrągłe oczy"
